X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
4.401236607,1.763936553,0.919437375,0.624497634,1.046207243,1.482323649,1.597269263,1.27263358,0.69913779,0.433153702,0.416951941,0.298704192,0.16569022,0.113662915,0.055602076,0.028512339
1.516642057,5.579820551,1.636799752,0.526566072,0.376492409,0.835529933,1.069852399,1.042001631,0.776663992,0.3504499,0.223292435,0.179960463,0.125073525,0.080200976,0.03437795,0.02135414
0.56530473,2.430135643,9.173725448,1.338731414,0.678905735,0.561664337,0.752270336,0.978849464,0.977257427,0.548472801,0.279454968,0.125107742,0.073773881,0.073518961,0.04631055,0.028149446
0.362383094,0.735950283,3.880891512,12.32915786,2.484104742,1.114496542,0.79194079,1.044384112,1.084481037,0.91051269,0.431088147,0.159695327,0.075093093,0.050912108,0.025332331,0.014882679
0.690604224,0.494602071,0.654419062,4.388704953,6.874433499,2.877837057,1.696848515,1.357469184,1.114795723,1.148850428,0.673750018,0.312985258,0.0940827,0.042085385,0.036185071,0.024777862
1.131658267,0.59517343,0.338302223,1.246927675,3.310355028,4.037476156,2.297426568,1.669578781,1.296031674,0.982625227,0.758282639,0.327918202,0.127142066,0.048662297,0.017450705,0.014077667
1.119065286,1.429784855,1.129041811,0.68832499,1.518714986,2.327752376,2.878892037,2.130289898,1.515147443,1.039982317,0.658295919,0.352172697,0.170006716,0.062183491,0.029989475,0.019242059
1.023033501,1.46318255,1.288895227,0.932610037,0.988366156,1.654278524,2.022703574,2.659282525,2.025620534,1.168606287,0.649873765,0.267570334,0.167300895,0.102396271,0.04901954,0.015894174
0.636548381,1.050247476,1.286702579,1.370933277,1.132353014,1.33195969,1.699262998,1.871621652,2.210152425,1.397961557,0.758460051,0.195135364,0.127805444,0.083992688,0.042570454,0.019715939
0.532940064,0.761510579,0.889692692,1.611893158,0.998319361,1.016777227,1.177551224,1.329233257,1.327717422,1.293340586,0.707389687,0.232359408,0.084175774,0.046589589,0.0367069,0.033540583
0.468355071,0.677468006,0.937189128,1.14817961,0.990535817,1.123539418,0.955417525,0.874707165,1.090291563,1.061665607,0.75312508,0.366801582,0.108214363,0.042595196,0.031107868,0.02912025
0.642747099,0.704361078,0.525225197,0.629507937,0.547992796,0.800202143,0.76508008,0.545793989,0.535220062,0.442325037,0.456447805,0.324319571,0.160736475,0.068014404,0.023768955,0.021303914
0.457295145,0.430797084,0.284589535,0.335920935,0.287418644,0.385938171,0.435548207,0.445531066,0.29882789,0.220888366,0.194471226,0.19322627,0.164067361,0.104134192,0.035954547,0.010395611
0.305432457,0.456590351,0.378882212,0.191998349,0.21676831,0.255165926,0.373340588,0.384045498,0.297230294,0.147291055,0.134885674,0.143745759,0.130819265,0.150973762,0.065762,0.016941363
0.132302701,0.386524943,0.330953704,0.288891779,0.10791641,0.18287352,0.167204657,0.298385929,0.280340835,0.226318054,0.168285366,0.103695477,0.123022209,0.111509139,0.107057231,0.07072377
0.198238918,0.280983644,0.39699252,0.333109446,0.100650893,0.105873343,0.138694107,0.22926557,0.222145576,0.209688226,0.188299451,0.099440889,0.04474367,0.078070322,0.057430508,0.047196225